country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Gabon,GAB,8.8173,8.7525,8.64,8.4743,8.2554,7.9887,7.6852,7.3634,7.0407,6.7277,6.4321,6.1572,5.8995,5.6571,5.4318,5.2258
Timor,TLS,10.1098,9.468,8.8884,8.3506,7.8501,7.3914,6.9848,6.6383,6.3523,6.1184,5.9221,5.7452,5.5709,5.3862,5.1846,4.9651
Madagascar,MDG,10.0811,9.4891,8.9445,8.4434,7.9869,7.5751,7.2057,6.8721,6.5671,6.2855,6.0227,5.7756,5.5425,5.3209,5.1071,4.8979
Cambodia,KHM,10.426,9.7174,8.9632,8.2099,7.4869,6.8161,6.2066,5.6495,5.1381,4.6766,4.269,3.9171,3.6154,3.3569,3.1356,2.9446
Botswana,BWA,9.6238,9.4207,9.095,8.6732,8.1767,7.6343,7.0765,6.5309,6.0216,5.5659,5.1729,4.8404,4.5509,4.29,4.0541,3.8414
Haiti,HTI,9.8993,9.6275,9.393,9.1931,9.0237,8.8772,8.744,8.6138,8.4783,8.3326,8.1743,8.0044,7.8289,7.6531,7.4792,7.3092
Yemen,YEM,10.0053,9.7375,9.4247,9.066,8.668,8.2482,7.831,7.4418,7.0999,6.8134,6.5835,6.4027,6.2525,6.1168,5.9883,5.8623
Ghana,GHA,9.8926,9.6906,9.4924,9.2995,9.1086,8.9105,8.6938,8.4519,8.1837,7.8929,7.5893,7.2865,6.9987,6.7368,6.5056,6.3058
Kenya,KEN,10.1978,9.9288,9.6089,9.2454,8.847,8.423,7.9826,7.538,7.1024,6.6882,6.308,5.9712,5.6776,5.425,5.2126,5.037
Laos,LAO,10.5591,10.142,9.7261,9.3133,8.9064,8.5089,8.1245,7.756,7.4057,7.0753,6.7663,6.4789,6.2108,5.9594,5.7232,5.5001
Zimbabwe,ZWE,9.759,9.855,9.8788,9.8233,9.6855,9.4652,9.1683,8.8163,8.4326,8.036,7.6463,7.2803,6.9456,6.6476,6.3919,6.1797
Sudan,SDN,10.5382,10.2432,9.9526,9.6624,9.3735,9.0889,8.8126,8.5489,8.3013,8.0712,7.8595,7.6659,7.4873,7.3205,7.1633,7.0136
Comoros,COM,10.1563,10.1051,10.0415,9.9538,9.8338,9.6747,9.4741,9.2413,8.987,8.7193,8.4488,8.1866,7.9405,7.7163,7.5172,7.3432
Bolivia,BOL,10.9939,10.639,10.2895,9.9459,9.6094,9.2826,8.9683,8.6675,8.3803,8.1057,7.8409,7.5822,7.3262,7.0703,6.8138,6.5566
Tanzania,TZA,12.1091,11.3508,10.6175,9.9336,9.3161,8.775,8.3092,7.9014,7.5364,7.2086,6.9137,6.6486,6.4111,6.1976,6.0032,5.8245
Djibouti,DJI,10.8798,10.754,10.6284,10.4992,10.3615,10.2062,10.0236,9.8111,9.5711,9.3089,9.0361,8.7672,8.5159,8.2924,8.1009,7.9413
Pakistan,PAK,11.2785,11.0355,10.8012,10.5758,10.359,10.1491,9.9434,9.7397,9.5368,9.3351,9.137,8.9458,8.7644,8.5944,8.4352,8.285
Gambia,GMB,11.6864,11.2489,10.8231,10.4082,10.0064,9.6211,9.2562,8.9148,8.5993,8.3108,8.0501,7.817,7.6084,7.4207,7.2511,7.0969
Mauritania,MRT,11.2995,11.2597,11.2092,11.1352,11.0312,10.8917,10.7153,10.5108,10.2885,10.0557,9.8225,9.599,9.3917,9.205,9.0415,8.9004
Swaziland,SWZ,11.4621,11.6286,11.7181,11.7225,11.6326,11.4365,11.1268,10.7169,10.2276,9.6785,9.093,8.4943,7.9045,7.3448,6.8333,6.3848
Senegal,SEN,12.9599,12.4065,11.7694,11.0845,10.3756,9.6653,8.971,8.3023,7.6698,7.0862,6.5624,6.1033,5.7016,5.3489,5.0412,4.7729
Lesotho,LSO,11.7071,11.8572,11.8927,11.8168,11.6293,11.3372,10.956,10.5164,10.0491,9.5749,9.1119,8.6715,8.2533,7.8575,7.4892,7.1499
Afghanistan,AFG,13.1208,12.6819,12.2242,11.7565,11.2841,10.8162,10.3635,9.9348,9.5362,9.1702,8.836,8.529,8.2406,7.9633,7.6942,7.4315
Togo,TGO,12.9179,12.6927,12.3968,12.0264,11.5887,11.1042,10.603,10.1194,9.681,9.3011,8.9849,8.7267,8.5061,8.3057,8.1189,7.941
Ethiopia,ETH,13.8861,13.2177,12.5561,11.899,11.25,10.6138,9.9952,9.4001,8.8348,8.3046,7.8167,7.3773,6.9852,6.6368,6.3278,6.0506
Uganda,UGA,13.8211,13.2495,12.6955,12.1763,11.7026,11.2801,10.9076,10.5732,10.2665,9.9837,9.7229,9.4836,9.2647,9.0631,8.8738,8.6909
Congo,COG,13.3912,13.1921,12.8543,12.3886,11.8112,11.1487,10.4355,9.7131,9.0196,8.381,7.816,7.3304,6.9092,6.5389,6.2168,5.9402
Zambia,ZMB,14.2878,13.6198,12.9504,12.3016,11.6894,11.1242,10.6075,10.1289,9.6799,9.2597,8.8678,8.5039,8.1665,7.8529,7.5608,7.2873
Cote d'Ivoire,CIV,13.7065,13.4817,13.258,13.0383,12.8205,12.597,12.3566,12.0889,11.7879,11.453,11.0847,10.6866,10.2699,9.8472,9.4291,9.0273
Benin,BEN,14.3601,14.0161,13.6656,13.3124,12.9599,12.6132,12.2781,11.9591,11.6594,11.3807,11.1231,10.8848,10.6612,10.4482,10.2436,10.0458
Malawi,MWI,15.1879,14.5545,13.9231,13.288,12.6524,12.0243,11.4152,10.8382,10.3041,9.8184,9.3847,9.0024,8.6643,8.3626,8.0931,7.8526
Rwanda,RWA,15.9296,14.7123,13.9486,13.2336,12.454,11.5581,10.571,9.6059,8.7488,8.009,7.3895,6.8834,6.4675,6.1192,5.825,5.5747
Cameroon,CMR,15.4451,14.9549,14.4355,13.9254,13.4455,13.0091,12.6169,12.2531,11.9039,11.5666,11.237,10.9105,10.5849,10.2599,9.936,9.6166
Liberia,LBR,16.5687,15.5164,14.4917,13.5072,12.5817,11.7349,10.9808,10.3159,9.733,9.2267,8.7872,8.4008,8.0502,7.7198,7.3992,7.0826
Equatorial Guinea,GNQ,15.2557,14.8816,14.5189,14.1646,13.8167,13.4721,13.1274,12.7809,12.4322,12.0816,11.7308,11.3821,11.0392,10.7057,10.3838,10.076
Burundi,BDI,15.815,15.5011,15.2366,14.9822,14.7256,14.4583,14.1783,13.8926,13.6063,13.319,13.0305,12.741,12.4516,12.1636,11.8779,11.5956
Mozambique,MOZ,16.8111,16.0661,15.3602,14.6901,14.0594,13.4702,12.9219,12.4121,11.9392,11.504,11.1118,10.7695,10.4778,10.2327,10.0266,9.8478
Somalia,SOM,16.6171,16.3059,16.0646,15.8407,15.614,15.37,15.1035,14.8227,14.5339,14.2356,13.9266,13.6072,13.2808,12.9514,12.6219,12.296
Guinea,GIN,17.4918,16.9247,16.3091,15.642,14.9322,14.2025,13.4844,12.808,12.1945,11.6508,11.1726,10.7442,10.3392,9.9368,9.5294,9.115
Democratic Republic of Congo,COD,17.8266,17.2954,16.694,16.0662,15.4374,14.8305,14.2604,13.7268,13.2297,12.7742,12.3622,11.9909,11.6501,11.33,11.0255,10.7319
South Sudan,SSD,17.662,17.1736,16.6965,16.2279,15.7661,15.311,14.8637,14.4263,14.0002,13.5854,13.1809,12.7852,12.3971,12.0163,11.6431,11.2793
Guinea-Bissau,GNB,17.5626,17.2706,16.9818,16.6842,16.3732,16.0468,15.7065,15.3584,15.0077,14.6564,14.3052,13.9542,13.6033,13.2529,12.9048,12.561
Burkina Faso,BFA,18.35,17.9512,17.4737,16.9119,16.2693,15.5522,14.7727,13.9581,13.1388,12.3398,11.5897,10.9122,10.3135,9.795,9.3571,8.9929
Nigeria,NGA,18.7369,18.1393,17.5132,16.8757,16.2428,15.6317,15.0558,14.5182,14.0193,13.5602,13.1359,12.7366,12.3502,11.9675,11.5862,11.2083
Chad,TCD,18.547,18.4208,18.2991,18.1704,18.0236,17.8385,17.5938,17.2823,16.9052,16.4707,15.997,15.509,15.0338,14.5924,14.1954,13.8455
Angola,AGO,20.438,19.4704,18.4716,17.4696,16.4871,15.5394,14.6327,13.7659,12.9428,12.1759,11.484,10.8845,10.381,9.9702,9.6449,9.3915
Central African Republic,CAF,18.6968,18.6324,18.5332,18.397,18.2211,17.9997,17.7273,17.4053,17.0389,16.6349,16.2007,15.7447,15.2774,14.8105,14.3543,13.9192
Niger,NER,21.8709,20.9412,20.0187,19.0935,18.1705,17.2579,16.3671,15.5128,14.7091,13.9657,13.2942,12.7033,12.1886,11.7418,11.3552,11.0171
Mali,MLI,21.6559,20.8968,20.0622,19.1828,18.2825,17.3897,16.5304,15.7206,14.9727,14.2968,13.6963,13.1661,12.6879,12.2449,11.829,11.4336
Sierra Leone,SLE,23.3456,22.7214,22.0846,21.4197,20.7245,19.9857,19.1872,18.3297,17.426,16.497,15.5782,14.7104,13.925,13.2426,12.6711,12.2049
